day,bar,step_sec,trade_horizon_sec,n_train_days,gate,gate_q,gate_thresh,p_enter_long,p_enter_short,min_hold_sec,turnover,total_cost,total_pnl_net
2024-01-02,30s,30,90,1,none,0.75,,0.65,0.35,90,140.0,0.14274606217215355,-0.09620331180074533
2024-01-03,30s,30,90,2,none,0.75,,0.65,0.35,90,38.0,0.12338942848332406,0.02183649727032562
2024-01-04,30s,30,90,3,none,0.75,,0.65,0.35,90,0.0,0.0,0.0
2024-01-05,30s,30,90,4,none,0.75,,0.65,0.35,90,6.0,0.02971197689203929,-0.014242341355424447
2024-01-06,30s,30,90,5,none,0.75,,0.65,0.35,90,0.0,0.0,0.0
2024-01-07,30s,30,90,6,none,0.75,,0.65,0.35,90,0.0,0.0,0.0
2024-01-08,30s,30,90,7,none,0.75,,0.65,0.35,90,8.0,0.023410301534911932,-0.03275204465549127
2024-01-09,30s,30,90,8,none,0.75,,0.65,0.35,90,16.0,0.07016454962254082,-0.120500067721934
2024-01-10,30s,30,90,9,none,0.75,,0.65,0.35,90,6.0,0.022975739246657557,-0.02614843712801488
2024-01-11,30s,30,90,10,none,0.75,,0.65,0.35,90,0.0,0.0,0.0
2024-01-12,30s,30,90,11,none,0.75,,0.65,0.35,90,4.0,0.01378357749863614,-0.0043511303781263045
2024-01-13,30s,30,90,12,none,0.75,,0.65,0.35,90,0.0,0.0,0.0
2024-01-14,30s,30,90,13,none,0.75,,0.65,0.35,90,0.0,0.0,0.0
2024-01-15,30s,30,90,14,none,0.75,,0.65,0.35,90,0.0,0.0,0.0
